,File name,Path,Rule,false-positive,true-positive
0,ShipEngine API,/v1/labels/{label_id}/return,A plural noun should be used for collection or store names,0,1
1,ICICI Lombard GIC Ltd.,/cripc/certificate,A plural noun should be used for collection or store names,0,1
2,ICICI Lombard GIC Ltd.,/cvipc/certificate,A plural noun should be used for collection or store names,0,1
3,ICICI Lombard GIC Ltd.,/hlipc/certificate,A plural noun should be used for collection or store names,0,1
4,ICICI Lombard GIC Ltd.,/hmipc/certificate,A plural noun should be used for collection or store names,0,1
5,ICICI Lombard GIC Ltd.,/miipc/certificate,A plural noun should be used for collection or store names,0,1
6,ICICI Lombard GIC Ltd.,/tripc/certificate,A plural noun should be used for collection or store names,0,1
7,ICICI Lombard GIC Ltd.,/twipc/certificate,A plural noun should be used for collection or store names,0,1
8,Idea Hub API,/v1alpha/{name},A plural noun should be used for collection or store names,0,1
9,Idea Hub API,/v1alpha/{parent}/ideaActivities,A plural noun should be used for collection or store names,0,1
10,Idea Hub API,/v1alpha/{parent}/ideas,A plural noun should be used for collection or store names,0,1
11,Idea Hub API,/v1alpha/{parent}/locales,A plural noun should be used for collection or store names,0,1
12,Xero Files API,/Files/{FileId}/Content,A plural noun should be used for collection or store names,0,1
13,1Password Connect,/vaults/{vaultUuid}/items/{itemUuid}/files/{fileUuid}/content,A plural noun should be used for collection or store names,0,1
14,Stationsdatenbereitstellung,/szentralen/{id},A plural noun should be used for collection or store names,0,1
15,TAGGUN Receipt OCR Scanning API,/api/account/v1/feedback,A plural noun should be used for collection or store names,0,1
16,TAGGUN Receipt OCR Scanning API,/api/account/v1/merchantname/add,A plural noun should be used for collection or store names,0,1
17,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/match/file,A plural noun should be used for collection or store names,0,1
18,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/simple/encoded,A plural noun should be used for collection or store names,0,1
19,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/simple/file,A plural noun should be used for collection or store names,0,1
20,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/simple/storage,A plural noun should be used for collection or store names,0,1
21,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/simple/url,A plural noun should be used for collection or store names,0,1
