,File name,Path,Rule,false-positive,true-positive
0,Amazon Textract ,/#X-Amz-Target=Textract.AnalyzeExpense,Description of request should match with the type of the request.,1,0
1,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName},Description of request should match with the type of the request.,1,0
2,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs/{mediaGraphName},Description of request should match with the type of the request.,0,1
3,api.datumbox.com,/1.0/KeywordExtraction.json,Description of request should match with the type of the request.,1,0
4,NetworkManagementClient237,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/interfaceEndpoints/{interfaceEndpointName},Description of request should match with the type of the request.,1,0
5,Stationsdatenbereitstellung,/stations,Description of request should match with the type of the request.,1,0
6,Stationsdatenbereitstellung,/stations/{id},Description of request should match with the type of the request.,1,0
7,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.DescribeDataset,Description of request should match with the type of the request.,0,1
8,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.ListDataIngestionJobs,Description of request should match with the type of the request.,0,1
9,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.ListDatasets,Description of request should match with the type of the request.,0,1
10,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.ListInferenceExecutions,Description of request should match with the type of the request.,0,1
11,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.ListInferenceSchedulers,Description of request should match with the type of the request.,0,1
12,TAGGUN Receipt OCR Scanning API,/api/account/v1/merchantname/add,Description of request should match with the type of the request.,0,1
13,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/verbose/file,Description of request should match with the type of the request.,1,0
14,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/verbose/storage,Description of request should match with the type of the request.,1,0
15,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/verbose/url,Description of request should match with the type of the request.,1,0
16,NetworkManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/networkInterfaces/{networkInterfaceName}/effectiveNetworkSecurityGroups,Description of request should match with the type of the request.,0,1
17,NetworkManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/virtualNetworks/{virtualNetworkName}/subnets/{subnetName},Description of request should match with the type of the request.,1,0
18,ApiManagementClient49,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/tenant/{accessName}/listSecrets,Description of request should match with the type of the request.,0,1
19,News Search Client,/news,Description of request should match with the type of the request.,0,1
20,News Search Client,/news/search,Description of request should match with the type of the request.,0,1
21,News Search Client,/news/trendingtopics,Description of request should match with the type of the request.,0,1
22,Azure Migrate Hub,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Migrate/migrateProjects/{migrateProjectName}/solutions/{solutionName},Description of request should match with the type of the request.,0,1
23,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.GetFlowTemplateRevisions,Description of request should match with the type of the request.,0,1
24,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.GetSystemTemplate,Description of request should match with the type of the request.,0,1
25,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.ListTagsForResource,Description of request should match with the type of the request.,0,1
26,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.SearchSystemTemplates,Description of request should match with the type of the request.,1,0
27,AutomationManagement84,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Automation/automationAccounts/{automationAccountName}/sourceControls/{sourceControlName}/sourceControlSyncJobs/{sourceControlSyncJobId},Description of request should match with the type of the request.,0,1
28,AWS Performance Insights,/#X-Amz-Target=PerformanceInsightsv20180227.DescribeDimensionKeys,Description of request should match with the type of the request.,0,1
29,AWS Performance Insights,/#X-Amz-Target=PerformanceInsightsv20180227.GetDimensionKeyDetails,Description of request should match with the type of the request.,0,1
30,AWS Performance Insights,	/#X-Amz-Target=PerformanceInsightsv20180227.GetResourceMetrics,Description of request should match with the type of the request.,0,1
31,Handwrytten API,/auth/authorization ,Description of request should match with the type of the request.,1,0
32,Handwrytten API,/giftCards/view,Description of request should match with the type of the request.,0,1
33,Handwrytten API,/profile/deleteRecipient,Description of request should match with the type of the request.,0,1
34,Handwrytten API,/profile/recipientsList,Description of request should match with the type of the request.,0,1
35,Handwrytten API,/templateCategories/list,Description of request should match with the type of the request.,0,1
36,Amazon Neptune,/#Action=DeleteDBSubnetGroup,Description of request should match with the type of the request.,0,1
37,Amazon Neptune,/#Action=RemoveRoleFromDBCluster,Description of request should match with the type of the request.,0,1
38,Amazon Neptune,/#Action=RemoveTagsFromResource,Description of request should match with the type of the request.,0,1
39,Amazon Neptune,/#Action=RestoreDBClusterFromSnapshot,Description of request should match with the type of the request.,0,1
40,IAM Service Account Credentials API,	/v1/{name}:generateAccessToken,Description of request should match with the type of the request.,1,0
41,IAM Service Account Credentials API,/v1/{name}:signBlob,Description of request should match with the type of the request.,1,0
42,Adyen Recurring API,/listRecurringDetails,Description of request should match with the type of the request.,0,1
43,Adyen Recurring API,/notifyShopper,Description of request should match with the type of the request.,1,0
44,Adyen Recurring API,/scheduleAccountUpdater,Description of request should match with the type of the request.,1,0
45,Compute Admin Client122,/subscriptions/{subscriptionId}/providers/Microsoft.Compute.Admin/locations/{location}/artifactTypes/platformImage/publishers/{publisher}/offers/{offer}/skus/{sku}/versions/{version},Description of request should match with the type of the request.,0,1
46,Mixed Reality196,/subscriptions/{subscriptionId}/providers/Microsoft.MixedReality/locations/{location}/checkNameAvailability,Description of request should match with the type of the request.,0,1
47,Cloud IoT API,/v1/{name}:modifyCloudToDeviceConfig,Description of request should match with the type of the request.,1,0
48,Cloud IoT API,/v1/{parent}:unbindDeviceFromGateway,Description of request should match with the type of the request.,0,1
49,Cloud IoT API,	/v1/{resource}:getIamPolicy,Description of request should match with the type of the request.,0,1
50,My Business Verifications API,	/v1/{location}:fetchVerificationOptions,Description of request should match with the type of the request.,1,0
51,Amazon Lookout for Metrics,/DeleteAlert,Description of request should match with the type of the request.,0,1
52,Amazon Lookout for Metrics,/DeleteAnomalyDetector,Description of request should match with the type of the request.,0,1
53,Amazon Lookout for Metrics,/DescribeAnomalyDetectionExecutions,Description of request should match with the type of the request.,0,1
54,Amazon Lookout for Metrics,/GetAnomalyGroup,Description of request should match with the type of the request.,0,1
55,Amazon Lookout for Metrics,/ListAnomalyGroupSummaries,Description of request should match with the type of the request.,0,1
56,Amazon Lookout for Metrics,/ListAnomalyGroupTimeSeries,Description of request should match with the type of the request.,0,1
57,Amazon AppConfig,	/applications/{Application}/environments/{Environment}/configurations/{Configuration}#client_id,Description of request should match with the type of the request.,0,1
58,"Labour Resource Department, Bihar",/apptu/certificate,Description of request should match with the type of the request.,1,0
59,ApplicationInsightsManagementClient54,	/subscriptions/{subscriptionId}/resourceGroup/{resourceGroupName}/providers/microsoft.insights/workbooktemplates/{resourceName},Description of request should match with the type of the request.,0,1
60,Amazon Kinesis,/#X-Amz-Target=Kinesis_20131202.DeregisterStreamConsumer,Description of request should match with the type of the request.,1,0
61,GoToWebinar,	/organizers/{organizerKey}/webinars/{webinarKey}/audio,Description of request should match with the type of the request.,0,1
62,Amazon Honeycode,/workbooks/{workbookId}/tables/{tableId}/rows/batchupdate,Description of request should match with the type of the request.,0,1
63,Amazon Honeycode,/workbooks/{workbookId}/apps/{appId}/screens/{screenId}/automations/{automationId},Description of request should match with the type of the request.,1,0
64,Amazon Honeycode,/workbooks/{workbookId}/tables/{tableId}/rows/list,Description of request should match with the type of the request.,0,1
65,API for the COVID-19 Tracking QR Code Signin Server,/login,Description of request should match with the type of the request.,1,0
66,AppConfigurationManagementClient,/subscriptions/{subscriptionId}/providers/Microsoft.AppConfiguration/checkNameAvailability,Description of request should match with the type of the request.,1,0
67,AppConfigurationManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AppConfiguration/configurationStores/{configStoreName}/RegenerateKey,Description of request should match with the type of the request.,0,1
68,AppConfigurationManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AppConfiguration/configurationStores/{configStoreName}/listKeyValue,Description of request should match with the type of the request.,0,1
69,Apps Script API,/v1/projects/{scriptId}/content,Description of request should match with the type of the request.,1,0
70,Azure Resource Graph Query,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ResourceGraph/queries/{resourceName},Description of request should match with the type of the request.,0,1
71,CallFire API Documentation,/calls,Description of request should match with the type of the request.,1,0
72,CallFire API Documentation,/campaigns/sounds/{id}.mp3,Description of request should match with the type of the request.,1,0
73,Cosmos DB170,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DocumentDB/databaseAccounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName},Description of request should match with the type of the request.,0,1
74,Customer Lockbox,/subscriptions/{subscriptionId}/providers/Microsoft.CustomerLockbox/requests/{requestId}/UpdateApproval,Description of request should match with the type of the request.,1,0
75,Google Workspace Alert Center API,/v1beta1/alerts/{alertId}:undelete,Description of request should match with the type of the request.,1,0
76,Google Workspace Alert Center API,/v1beta1/alerts:batchDelete,Description of request should match with the type of the request.,0,1
77,IoTSpacesClient,/subscriptions/{subscriptionId}/providers/Microsoft.IoTSpaces/checkNameAvailability,Description of request should match with the type of the request.,0,1
78,IoTSpacesClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.IoTSpaces/Graph/{resourceName},Description of request should match with the type of the request.,0,1
79,KustoManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Kusto/clusters/{clusterName}/databases/{databaseName}/listPrincipals,Description of request should match with the type of the request.,0,1
80,NetworkManagementClient245,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/networkWatchers/{networkWatcherName}/connectionMonitors/{connectionMonitorName}/query,Description of request should match with the type of the request.,0,1
81,ServiceBusManagementClient313,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ServiceBus/namespaces/{namespaceName},Description of request should match with the type of the request.,0,1
