@relation 'Rest API Endpoints'

@attribute label_type {get,post,put,delete,invalid}
@attribute text string

@data
get, ' List all the sub accounts under the master account'
post, ' Create a sub account under the master account. <aside>Your account must be a master account and have this privilege to create sub account. Zoom only assigns this privilege to trusted partners. The created user will not receive a confirmation email.</aside>.'
get, ' Retrieve a sub account under the master account. <aside>Your account must be a master account and have this privilege to read sub accounts. Zoom only assigns this privilege to trusted partners</aside>.'
delete, ' Disassociate a sub account from the master account. This will leave the account intact but the sub account will not longer be associated with the master account.'
put, ' Update a sub account's options under the master account'
get, ' Retrieve a sub account's settings under the master account'
put, ' Update a sub account's settings under the master account'
get, ' Retrieve a sub account's managed domains under the master account'
get, ' Retrieve billing information for a sub account under the master account'
put, ' Update billing information for a sub account under the master account <aside>Only for the sub account which is a paid account and paid by master account</aside>'
get, ' Retrieve plan information for a sub account under the master account <aside>Only for the sub account which is paid by master account</aside>'
post, ' Subscribe plans for a sub account of the master account <aside>Can only subscribe plans for the sub account which is a free account and paid by master account</aside>'
put, ' Update a base plan for a sub account <aside>Can only update a base plan for the sub account which is a paid account and paid by master account</aside>'
post, ' Add an additional plan for sub account <aside>Can only add an Additional plan for the sub account which is a paid account and paid by master account</aside>'
put, ' Update an additional plan for sub account<aside>Can only update an Additional plan for the sub account which is a paid account and paid by master account</aside>'
get, ' List groups under your account'
post, ' Create a group under your account'
get, ' Retrieve a group under your account'
put, ' Update a group under your account'
delete, ' Delete a group under your account'
get, ' List a group's members under your account'
post, ' Add members to a group under your account'
delete, ' Delete a member from a group under your account'
get, ' List H.323/SIP Devices on your Zoom account.'
post, ' Create a H.323/SIP Device on your Zoom account'
put, ' Update a H.323/SIP Device on your Zoom account'
delete, ' Delete a H.323/SIP Device on your Zoom account'
get, ' List Tracking Fields on your Zoom account.'
post, ' Create a Tracking Field on your Zoom account'
get, ' Retrieve a tracking field'
put, ' Update a Tracking Field on your Zoom account''
delete, ' Delete a Tracking Field on your Zoom account''
get, ' List IM groups under your account''
post, ' Create a IM Group under your account''
get, ' Retrieve an IM Group under your account''
put, ' Update an IM Group under your account''
delete, ' Delete an IM Group under your account''
get, ' List an IM Group's members under your account''
post, ' Add members to an IM Group under your account''
delete, ' Delete a member from an IM Group under your account''
get, ' Retrieve IM Chat sessions for a specified period <aside>This API only supports oauth2.</aside>''
get, ' Retrieve IM Chat messages for a specified period <aside>This API only supports oauth2.</aside>''
get, ' List meetings for a user'
post, ' Create a meeting for a user <aside>The expiration time of start_url is two hours. But for API users, the expiration time is 90 days.</aside>'
get, ' Retrieve a meeting's details'
put, ' Update a meeting's details'
delete, ' Delete a meeting'
put, ' Update a meeting's status'
get, ' Retrieve a meeting invitation'
get, ' List registrants of a meeting'
post, ' Register a participant for a meeting'
put, ' Update a meeting registrant's status'
put, ' Update a meeting's live stream'
put, ' Update a meeting's live stream status'
get, ' Retrieve ended meeting details'
get, ' Retrieve ended meeting participants'
get, ' List of ended meeting instances'
get, ' List polls of a meeting'
post, ' Create a poll for a meeting'
get, ' Retrieve a meeting's poll'
put, ' Update a meeting's poll'
delete, ' Delete a meeting's Poll'
get, ' List all the recordings'
get, ' Retrieve a meeting’s all recordings'
delete, ' Delete a meeting's recordings'
delete, ' Delete one meeting recording file'
put, ' Recover a meeting's recordings'
put, ' Recover a single recording'
get, ' Retrieve a meeting recording's settings'
put, ' Update a meeting recording's settings'
get, ' List live meetings or past meetings for a specified period'
get, ' Retrieve live or past meetings detail'
get, ' Retrieve live or past meetings participants'
get, ' Retrieve live or past meetings participant quality of service'
get, ' Retrieve list of live or past meetings participants quality of service'
get, ' Retrieve sharing/recording details of live or past meetings participant'
get, ' List live webinars or past webinars for a specified period'
get, ' Retrieve live or past webinars detail'
get, ' Retrieve live or past webinar participants'
get, ' Retrieve live or past webinar participant quality of service'
get, ' Retrieve list of live or past webinar participants quality of service'
get, ' Retrieve sharing/recording details of live or past webinar participant'
get, ' List all zoom rooms on account'
get, ' Retrieve zoom room on account'
get, ' Get CRC Port usage hour by hour for a specified time period <aside class='notice'>We will report a maximum of one month. For example, if "from" is set to "2017-08-05" and "to" is "2017-10-10" we will adjust "from" to "2017-09-10"</aside>.'
get, ' Retrieve metrics of Zoom IM'
get, ' Retrieve daily report for one month, can only get daily report for recent 6 months'
get, ' Retrieve active or inactive hosts report for a specified period'
get, ' Retrieve ended meetings report for a specified period'
get, ' Retrieve ended meeting details report'
get, ' Retrieve ended meeting participants report'
get, ' Retrieve ended meeting polls report'
get, ' Retrieve ended webinar details report'
get, ' Retrieve ended webinar participants report'
get, ' Retrieve ended webinar polls report'
get, ' Retrieve ended webinar Q&A report'
get, ' Retrieve telephone report for a specified period <aside>Toll Report option would be removed.</aside>.'
get, ' Retrieve cloud recording usage report for a specified period. You can only get cloud recording reports for the most recent period of 6 months. The date gap between from and to dates should be smaller or equal to 30 days.'
get, ' Retrieve TSP information on account level'
put, ' Update TSP information on account level'
get, ' List users on your account'
post, ' Create a user on your account'
get, ' Retrieve a user on your account'
put, ' Update a user on your account'
delete, ' Delete a user on your account'
get, ' List a user's assistants'
post, ' Add assistants to a user'
delete, ' Delete all of a user'sassitants'
delete, ' Delete one of a user's assistants'
get, ' List a user's schedulers'
delete, ' Delete all of a user'schedulers'
delete, ' Delete one of a user's schedulers'
post, ' Upload a user's profile picture'
get, ' Retrieve a user's settings'
put, ' Update a user's settings'
put, ' Update a user's status'
put, ' Update a user's password'
get, ' Retrieve a user's permissions'
get, ' List user's PAC accounts'
get, ' List user's TSP accounts'
post, ' Add a user's TSP account'
get, ' Retrieve a user's TSP account'
put, ' Update a user's TSP account'
delete, ' Delete a user's TSP account'
get, ' Retrieve a user's token'
delete, ' Revoke a user's SSO token'
put, ' Update a user's email'
get, ' Check if the zpk is expired. The zpk is used to authenticate a user.'
get, ' Check if the user email exists'
get, ' Check if the user's personal meeting room name exists'
get, ' List webinars for a user'
post, ' Create a webinar for a user <aside>The expiration time of start_url is two hours. But for API users, the expiration time is 90 days.</aside>'
get, ' Retrieve a webinar'
put, ' Update a webinar'
delete, ' Delete a webinar'
put, ' Update a webinar's status'
get, ' List panelists for a webinar'
post, ' Add panelist to webinar'
delete, ' Remove all panelists from a webinar'
delete, ' Remove a panelist from a webinar'
get, ' List registrants for a webinar'
post, ' Add a registrant for a webinar'
put, ' Update a webinar registrant's status'
get, ' List of ended webinar instances'
get, ' List polls of a webinar'
post, ' Create a poll for a webinar'
get, ' Retrieve a webinar's poll'
put, ' Update a webinar's poll'
delete, ' Delete a webinar's Poll'
put, ' Switch webhook version'
get, ' List webhooks for a account'
post, ' Create a webhook for a account'
get, ' Retrieve a webhook'
put, ' Update a webhook'
delete, ' Delete a webhook'
get, ' Get Hypermedia links to resources accessible in GitHub's REST API'
get, ' Returns the GitHub App associated with the authentication credentials used. To see how many app installations are associated with this GitHub App, see the `installations_count` in the response. For more details about your app's installations, see the "[List installations for the authenticated app](https://docs.github.com/rest/reference/apps#list-installations-for-the-authenticated-app)" endpoint.'
post, ' Use this endpoint to complete the handshake necessary when implementing the [GitHub App Manifest flow](https://docs.github.com/apps/building-github-apps/creating-github-apps-from-a-manifest/). When you create a GitHub App with the manifest flow, you receive a temporary `code` used to retrieve the GitHub App's `id`, `pem` (private key), and `webhook_secret`.'
get, ' Returns the webhook configuration for a GitHub App. For more information about configuring a webhook for your app, see "[Creating a GitHub App](/developers/apps/creating-a-github-app)."'
put, ' Updates the webhook configuration for a GitHub App. For more information about configuring a webhook for your app, see "[Creating a GitHub App](/developers/apps/creating-a-github-app)."'
delete, ' Uninstalls a GitHub App on a user, organization, or business account. If you prefer to temporarily suspend an app's access to your account's resources, then we recommend the "[Suspend an app installation](https://docs.github.com/rest/reference/apps/#suspend-an-app-installation)" endpoint.'
get, ' Enables an authenticated GitHub App to find an installation's information using the installation id. The installation's account type (`target_type`) will be either an organization or a user account, depending which account the repository belongs to.'
post, ' Creates an installation access token that enables a GitHub App to make authenticated API requests for the app's installation on an organization or individual account. Installation tokens expire one hour from the time you create them. Using an expired token produces a status code of `401 - Unauthorized`, and requires creating a new installation token. By default the installation token has access to all repositories that the installation can access. To restrict the access to specific repositories, you can provide the `repository_ids` when creating the token. When you omit `repository_ids`, the response does not contain the `repositories` key.'
delete, ' Removes a GitHub App installation suspension.'
delete, ' Suspends a GitHub App on a user, organization, or business account, which blocks the app from accessing the account's resources. When a GitHub App is suspended, the app's access to the GitHub API or webhook events is blocked for that account.'
